epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,896.37,0.81147,3.58402,1.08112,0.26137,0.38749,0.273,0.22117,0.79472,2.93504,1.03861,0.00017454,0.00017454,0.00017454
2,1728.95,0.73714,2.57511,0.99883,0.64624,0.40108,0.44768,0.36397,0.79674,2.42349,1.04113,0.000315236,0.000315236,0.000315236
3,2565.75,0.72652,2.07256,0.99188,0.69334,0.57402,0.62113,0.51735,0.7574,1.87194,0.99656,0.000421216,0.000421216,0.000421216
4,3435.43,0.68449,1.67496,0.97097,0.65703,0.61896,0.6744,0.55992,0.71199,1.55696,0.97639,0.000369778,0.000369778,0.000369778
5,4315.24,0.6492,1.37379,0.95177,0.77876,0.68332,0.76586,0.64218,0.676,1.21735,0.94897,0.000317704,0.000317704,0.000317704
6,5093.84,0.62267,1.179,0.93955,0.82998,0.72096,0.80213,0.68654,0.63836,1.08248,0.93361,0.00026563,0.00026563,0.00026563
7,5842.28,0.59992,1.03402,0.92782,0.90346,0.72935,0.84516,0.72325,0.63334,0.94524,0.92869,0.000213556,0.000213556,0.000213556
8,6595.28,0.58861,0.92456,0.91989,0.9268,0.76384,0.85755,0.73811,0.59814,0.83759,0.91324,0.000161482,0.000161482,0.000161482
9,7347.54,0.56063,0.83176,0.91183,0.91326,0.77683,0.87049,0.75471,0.5891,0.77421,0.90873,0.000109408,0.000109408,0.000109408
10,8096.97,0.54426,0.78332,0.90097,0.93898,0.77117,0.87561,0.75953,0.58673,0.75084,0.90846,5.7334e-05,5.7334e-05,5.7334e-05
